sale_id,sale_date,amount,product
0,2024-01-25,192.51,Gadget
1,2024-01-24,226.28,Doohickey
2,2024-01-22,216.48,Widget
3,2024-01-24,157.06,Gadget
4,2024-01-22,141.34,Gadget
5,2024-01-18,183.86,Doohickey
6,2024-01-22,294.26,Gadget
7,2024-01-21,176.38,Doohickey
8,2024-01-24,164.43,Gadget
9,2024-01-22,129.79,Gadget
10,2024-01-16,168.02,Doohickey
11,2024-01-22,174.79,Widget
12,2024-01-25,150.47,Doohickey
13,2024-01-19,107.96,Widget
14,2024-01-19,153.43,Doohickey
15,2024-01-23,283.78,Widget
16,2024-01-21,187.68,Thingamajig
17,2024-01-17,289.9,Thingamajig
18,2024-01-22,156.26,Doohickey
19,2024-01-23,275.91,Gadget
20,2024-01-24,131.16,Gadget
21,2024-01-24,193.05,Gadget
22,2024-01-16,269.98,Widget
23,2024-01-17,298.81,Doohickey
24,2024-01-16,166.62,Doohickey
25,2024-01-22,295.4,Doohickey
26,2024-01-24,198.7,Widget
27,2024-01-25,248.41,Widget
28,2024-01-16,197.96,Widget
29,2024-01-19,275.52,Thingamajig
30,2024-01-22,117.11,Widget
31,2024-01-16,277.58,Gadget
32,2024-01-19,115.73,Doohickey
33,2024-01-18,173.51,Doohickey
34,2024-01-16,204.7,Thingamajig
35,2024-01-17,185.31,Doohickey
36,2024-01-25,130.25,Widget
37,2024-01-24,246.58,Doohickey
38,2024-01-19,216.0,Doohickey
39,2024-01-23,122.34,Widget
40,2024-01-16,207.74,Thingamajig
41,2024-01-17,291.34,Gadget
42,2024-01-21,205.43,Doohickey
43,2024-01-22,107.28,Thingamajig
44,2024-01-24,201.44,Doohickey
45,2024-01-16,139.54,Gadget
46,2024-01-18,214.71,Thingamajig
47,2024-01-25,143.29,Thingamajig
48,2024-01-18,134.39,Doohickey
49,2024-01-22,162.34,Doohickey
50,2024-01-25,249.65,Thingamajig
51,2024-01-21,221.69,Widget
52,2024-01-22,141.59,Gadget
53,2024-01-21,283.66,Thingamajig
54,2024-01-19,293.51,Widget
55,2024-01-18,282.39,Doohickey
56,2024-01-18,295.69,Doohickey
57,2024-01-22,274.04,Doohickey
58,2024-01-24,292.9,Widget
59,2024-01-22,225.07,Gadget
60,2024-01-22,130.68,Widget
61,2024-01-22,248.19,Doohickey
62,2024-01-20,288.3,Widget
63,2024-01-23,263.57,Widget
64,2024-01-20,211.77,Thingamajig
65,2024-01-18,260.25,Widget
66,2024-01-23,178.42,Widget
67,2024-01-22,122.5,Doohickey
68,2024-01-22,138.03,Gadget
69,2024-01-25,265.41,Gadget
70,2024-01-25,133.84,Widget
71,2024-01-25,203.12,Gadget
72,2024-01-19,250.19,Doohickey
73,2024-01-24,108.32,Gadget
74,2024-01-16,198.78,Widget
75,2024-01-19,166.83,Gadget
76,2024-01-17,253.06,Widget
77,2024-01-25,186.39,Thingamajig
78,2024-01-24,251.95,Thingamajig
79,2024-01-22,121.54,Widget
80,2024-01-22,210.94,Widget
81,2024-01-23,195.86,Widget
82,2024-01-20,280.33,Thingamajig
83,2024-01-23,144.53,Gadget
84,2024-01-19,101.76,Widget
85,2024-01-19,110.4,Widget
86,2024-01-17,294.41,Thingamajig
87,2024-01-16,119.3,Gadget
88,2024-01-23,257.25,Gadget
89,2024-01-25,182.91,Thingamajig
90,2024-01-23,193.87,Thingamajig
91,2024-01-16,223.99,Thingamajig
92,2024-01-24,249.42,Doohickey
93,2024-01-19,247.96,Thingamajig
94,2024-01-25,168.76,Thingamajig
95,2024-01-18,224.22,Doohickey
96,2024-01-18,272.05,Doohickey
97,2024-01-22,188.17,Doohickey
98,2024-01-22,115.41,Gadget
99,2024-01-18,107.79,Thingamajig
100,2024-01-19,247.88,Widget
101,2024-01-20,126.21,Thingamajig
102,2024-01-17,105.34,Doohickey
103,2024-01-20,143.29,Gadget
104,2024-01-18,186.56,Thingamajig
105,2024-01-21,275.84,Thingamajig
106,2024-01-20,134.75,Widget
107,2024-01-23,232.56,Thingamajig
108,2024-01-19,193.06,Thingamajig
109,2024-01-22,217.52,Doohickey
110,2024-01-25,216.57,Thingamajig
111,2024-01-25,154.38,Gadget
112,2024-01-17,284.48,Gadget
113,2024-01-25,286.51,Widget
114,2024-01-16,137.92,Thingamajig
115,2024-01-23,224.37,Thingamajig
116,2024-01-17,106.88,Widget
117,2024-01-20,183.57,Thingamajig
118,2024-01-25,127.51,Thingamajig
119,2024-01-17,181.41,Thingamajig
120,2024-01-21,237.52,Gadget
121,2024-01-19,159.26,Gadget
122,2024-01-20,235.84,Widget
123,2024-01-21,147.24,Gadget
124,2024-01-24,252.67,Thingamajig
125,2024-01-25,202.38,Widget
126,2024-01-20,293.74,Gadget
127,2024-01-22,122.24,Doohickey
128,2024-01-17,191.83,Doohickey
129,2024-01-25,137.86,Thingamajig
130,2024-01-23,127.85,Doohickey
131,2024-01-24,146.38,Doohickey
132,2024-01-16,129.17,Thingamajig
